ProductKey,productitemcode,ProductName,Product_subcategory,Product_category,Product_color,Product_size,ProductLine,ModelName,Product_description,StartDate,EndDate,Product_status
39,HJ-1220,"Thin-Jam Hex Nut 10",NULL,NULL,NULL,NULL,NULL,NULL,NULL,"2003-07-01 00:00:00.000",NULL,Current
40,HJ-1420,"Thin-Jam Hex Nut 1",NULL,NULL,NULL,NULL,NULL,NULL,NULL,"2003-07-01 00:00:00.000",NULL,Current
41,HJ-1428,"Thin-Jam Hex Nut 2",NULL,NULL,NULL,NULL,NULL,NULL,NULL,"2003-07-01 00:00:00.000",NULL,Current
42,HJ-3410,"Thin-Jam Hex Nut 15",NULL,NULL,NULL,NULL,NULL,NULL,NULL,"2003-07-01 00:00:00.000",NULL,Current
43,HJ-3416,"Thin-Jam Hex Nut 16",NULL,NULL,NULL,NULL,NULL,NULL,NULL,"2003-07-01 00:00:00.000",NULL,Current
44,HJ-3816,"Thin-Jam Hex Nut 5",NULL,NULL,NULL,NULL,NULL,NULL,NULL,"2003-07-01 00:00:00.000",NULL,Current
45,HJ-3824,"Thin-Jam Hex Nut 6",NULL,NULL,NULL,NULL,NULL,NULL,NULL,"2003-07-01 00:00:00.000",NULL,Current
46,HJ-5161,"Thin-Jam Hex Nut 3",NULL,NULL,NULL,NULL,NULL,NULL,NULL,"2003-07-01 00:00:00.000",NULL,Current
47,HJ-5162,"Thin-Jam Hex Nut 4",NULL,NULL,NULL,NULL,NULL,NULL,NULL,"2003-07-01 00:00:00.000",NULL,Current
48,HJ-5811,"Thin-Jam Hex Nut 13",NULL,NULL,NULL,NULL,NULL,NULL,NULL,"2003-07-01 00:00:00.000",NULL,Current
49,HJ-5818,"Thin-Jam Hex Nut 14",NULL,NULL,NULL,NULL,NULL,NULL,NULL,"2003-07-01 00:00:00.000",NULL,Current
50,HJ-7161,"Thin-Jam Hex Nut 7",NULL,NULL,NULL,NULL,NULL,NULL,NULL,"2003-07-01 00:00:00.000",NULL,Current
51,HJ-7162,"Thin-Jam Hex Nut 8",NULL,NULL,NULL,NULL,NULL,NULL,NULL,"2003-07-01 00:00:00.000",NULL,Current
52,HJ-9080,"Thin-Jam Hex Nut 12",NULL,NULL,NULL,NULL,NULL,NULL,NULL,"2003-07-01 00:00:00.000",NULL,Current
53,HJ-9161,"Thin-Jam Hex Nut 11",NULL,NULL,NULL,NULL,NULL,NULL,NULL,"2003-07-01 00:00:00.000",NULL,Current
54,HN-1024,"Hex Nut 5",NULL,NULL,NULL,NULL,NULL,NULL,NULL,"2003-07-01 00:00:00.000",NULL,Current
55,HN-1032,"Hex Nut 6",NULL,NULL,NULL,NULL,NULL,NULL,NULL,"2003-07-01 00:00:00.000",NULL,Current
56,HN-1213,"Hex Nut 16",NULL,NULL,NULL,NULL,NULL,NULL,NULL,"2003-07-01 00:00:00.000",NULL,Current
57,HN-1220,"Hex Nut 17",NULL,NULL,NULL,NULL,NULL,NULL,NULL,"2003-07-01 00:00:00.000",NULL,Current
58,HN-1224,"Hex Nut 7",NULL,NULL,NULL,NULL,NULL,NULL,NULL,"2003-07-01 00:00:00.000",NULL,Current
59,HN-1420,"Hex Nut 8",NULL,NULL,NULL,NULL,NULL,NULL,NULL,"2003-07-01 00:00:00.000",NULL,Current
60,HN-1428,"Hex Nut 9",NULL,NULL,NULL,NULL,NULL,NULL,NULL,"2003-07-01 00:00:00.000",NULL,Current
61,HN-3410,"Hex Nut 22",NULL,NULL,NULL,NULL,NULL,NULL,NULL,"2003-07-01 00:00:00.000",NULL,Current
62,HN-3416,"Hex Nut 23",NULL,NULL,NULL,NULL,NULL,NULL,NULL,"2003-07-01 00:00:00.000",NULL,Current
63,HN-3816,"Hex Nut 12",NULL,NULL,NULL,NULL,NULL,NULL,NULL,"2003-07-01 00:00:00.000",NULL,Current
64,HN-3824,"Hex Nut 13",NULL,NULL,NULL,NULL,NULL,NULL,NULL,"2003-07-01 00:00:00.000",NULL,Current
65,HN-4402,"Hex Nut 1",NULL,NULL,NULL,NULL,NULL,NULL,NULL,"2003-07-01 00:00:00.000",NULL,Current
66,HN-5161,"Hex Nut 10",NULL,NULL,NULL,NULL,NULL,NULL,NULL,"2003-07-01 00:00:00.000",NULL,Current
67,HN-5162,"Hex Nut 11",NULL,NULL,NULL,NULL,NULL,NULL,NULL,"2003-07-01 00:00:00.000",NULL,Current
68,HN-5400,"Hex Nut 2",NULL,NULL,NULL,NULL,NULL,NULL,NULL,"2003-07-01 00:00:00.000",NULL,Current
69,HN-5811,"Hex Nut 20",NULL,NULL,NULL,NULL,NULL,NULL,NULL,"2003-07-01 00:00:00.000",NULL,Current
70,HN-5818,"Hex Nut 21",NULL,NULL,NULL,NULL,NULL,NULL,NULL,"2003-07-01 00:00:00.000",NULL,Current
71,HN-6320,"Hex Nut 3",NULL,NULL,NULL,NULL,NULL,NULL,NULL,"2003-07-01 00:00:00.000",NULL,Current
72,HN-7161,"Hex Nut 14",NULL,NULL,NULL,NULL,NULL,NULL,NULL,"2003-07-01 00:00:00.000",NULL,Current
73,HN-7162,"Hex Nut 15",NULL,NULL,NULL,NULL,NULL,NULL,NULL,"2003-07-01 00:00:00.000",NULL,Current
74,HN-8320,"Hex Nut 4",NULL,NULL,NULL,NULL,NULL,NULL,NULL,"2003-07-01 00:00:00.000",NULL,Current
75,HN-9161,"Hex Nut 18",NULL,NULL,NULL,NULL,NULL,NULL,NULL,"2003-07-01 00:00:00.000",NULL,Current
76,HN-9168,"Hex Nut 19",NULL,NULL,NULL,NULL,NULL,NULL,NULL,"2003-07-01 00:00:00.000",NULL,Current
77,HT-2981,"Handlebar Tube",NULL,NULL,NULL,NULL,NULL,NULL,NULL,"2003-07-01 00:00:00.000",NULL,Current
78,HT-8019,"Head Tube",NULL,NULL,NULL,NULL,NULL,NULL,NULL,"2003-07-01 00:00:00.000",NULL,Current
79,HU-6280,"LL Hub",NULL,NULL,NULL,NULL,NULL,NULL,NULL,"2003-07-01 00:00:00.000",NULL,Current
80,HU-8998,"HL Hub",NULL,NULL,NULL,NULL,NULL,NULL,NULL,"2003-07-01 00:00:00.000",NULL,Current
81,KW-4091,"Keyed Washer",NULL,NULL,NULL,NULL,NULL,NULL,NULL,"2003-07-01 00:00:00.000",NULL,Current
82,LE-1000,"External Lock Washer 3",NULL,NULL,NULL,NULL,NULL,NULL,NULL,"2003-07-01 00:00:00.000",NULL,Current
83,LE-1200,"External Lock Washer 4",NULL,NULL,NULL,NULL,NULL,NULL,NULL,"2003-07-01 00:00:00.000",NULL,Current
84,LE-1201,"External Lock Washer 9",NULL,NULL,NULL,NULL,NULL,NULL,NULL,"2003-07-01 00:00:00.000",NULL,Current
85,LE-1400,"External Lock Washer 5",NULL,NULL,NULL,NULL,NULL,NULL,NULL,"2003-07-01 00:00:00.000",NULL,Current
86,LE-3800,"External Lock Washer 7",NULL,NULL,NULL,NULL,NULL,NULL,NULL,"2003-07-01 00:00:00.000",NULL,Current
87,LE-5160,"External Lock Washer 6",NULL,NULL,NULL,NULL,NULL,NULL,NULL,"2003-07-01 00:00:00.000",NULL,Current
88,LE-6000,"External Lock Washer 1",NULL,NULL,NULL,NULL,NULL,NULL,NULL,"2003-07-01 00:00:00.000",NULL,Current
89,LE-7160,"External Lock Washer 8",NULL,NULL,NULL,NULL,NULL,NULL,NULL,"2003-07-01 00:00:00.000",NULL,Current
90,LE-8000,"External Lock Washer 2",NULL,NULL,NULL,NULL,NULL,NULL,NULL,"2003-07-01 00:00:00.000",NULL,Current
91,LI-1000,"Internal Lock Washer 3",NULL,NULL,NULL,NULL,NULL,NULL,NULL,"2003-07-01 00:00:00.000",NULL,Current
92,LI-1200,"Internal Lock Washer 4",NULL,NULL,NULL,NULL,NULL,NULL,NULL,"2003-07-01 00:00:00.000",NULL,Current
93,LI-1201,"Internal Lock Washer 9",NULL,NULL,NULL,NULL,NULL,NULL,NULL,"2003-07-01 00:00:00.000",NULL,Current
94,LI-1400,"Internal Lock Washer 5",NULL,NULL,NULL,NULL,NULL,NULL,NULL,"2003-07-01 00:00:00.000",NULL,Current
95,LI-3800,"Internal Lock Washer 7",NULL,NULL,NULL,NULL,NULL,NULL,NULL,"2003-07-01 00:00:00.000",NULL,Current
96,LI-5160,"Internal Lock Washer 6",NULL,NULL,NULL,NULL,NULL,NULL,NULL,"2003-07-01 00:00:00.000",NULL,Current
97,LI-5800,"Internal Lock Washer 10",NULL,NULL,NULL,NULL,NULL,NULL,NULL,"2003-07-01 00:00:00.000",NULL,Current
98,LI-6000,"Internal Lock Washer 1",NULL,NULL,NULL,NULL,NULL,NULL,NULL,"2003-07-01 00:00:00.000",NULL,Current
99,LI-7160,"Internal Lock Washer 8",NULL,NULL,NULL,NULL,NULL,NULL,NULL,"2003-07-01 00:00:00.000",NULL,Current
100,LI-8000,"Internal Lock Washer 2",NULL,NULL,NULL,NULL,NULL,NULL,NULL,"2003-07-01 00:00:00.000",NULL,Current
101,LJ-1213,"Thin-Jam Lock Nut 9",NULL,NULL,NULL,NULL,NULL,NULL,NULL,"2003-07-01 00:00:00.000",NULL,Current
102,LJ-1220,"Thin-Jam Lock Nut 10",NULL,NULL,NULL,NULL,NULL,NULL,NULL,"2003-07-01 00:00:00.000",NULL,Current
103,LJ-1420,"Thin-Jam Lock Nut 1",NULL,NULL,NULL,NULL,NULL,NULL,NULL,"2003-07-01 00:00:00.000",NULL,Current
104,LJ-1428,"Thin-Jam Lock Nut 2",NULL,NULL,NULL,NULL,NULL,NULL,NULL,"2003-07-01 00:00:00.000",NULL,Current
105,LJ-3410,"Thin-Jam Lock Nut 15",NULL,NULL,NULL,NULL,NULL,NULL,NULL,"2003-07-01 00:00:00.000",NULL,Current
106,LJ-3416,"Thin-Jam Lock Nut 16",NULL,NULL,NULL,NULL,NULL,NULL,NULL,"2003-07-01 00:00:00.000",NULL,Current
107,LJ-3816,"Thin-Jam Lock Nut 5",NULL,NULL,NULL,NULL,NULL,NULL,NULL,"2003-07-01 00:00:00.000",NULL,Current
108,LJ-3824,"Thin-Jam Lock Nut 6",NULL,NULL,NULL,NULL,NULL,NULL,NULL,"2003-07-01 00:00:00.000",NULL,Current
109,LJ-5161,"Thin-Jam Lock Nut 3",NULL,NULL,NULL,NULL,NULL,NULL,NULL,"2003-07-01 00:00:00.000",NULL,Current
110,LJ-5162,"Thin-Jam Lock Nut 4",NULL,NULL,NULL,NULL,NULL,NULL,NULL,"2003-07-01 00:00:00.000",NULL,Current
111,LJ-5811,"Thin-Jam Lock Nut 13",NULL,NULL,NULL,NULL,NULL,NULL,NULL,"2003-07-01 00:00:00.000",NULL,Current
112,LJ-5818,"Thin-Jam Lock Nut 14",NULL,NULL,NULL,NULL,NULL,NULL,NULL,"2003-07-01 00:00:00.000",NULL,Current
113,LJ-7161,"Thin-Jam Lock Nut 7",NULL,NULL,NULL,NULL,NULL,NULL,NULL,"2003-07-01 00:00:00.000",NULL,Current
114,LJ-7162,"Thin-Jam Lock Nut 8",NULL,NULL,NULL,NULL,NULL,NULL,NULL,"2003-07-01 00:00:00.000",NULL,Current
115,LJ-9080,"Thin-Jam Lock Nut 12",NULL,NULL,NULL,NULL,NULL,NULL,NULL,"2003-07-01 00:00:00.000",NULL,Current
116,LJ-9161,"Thin-Jam Lock Nut 11",NULL,NULL,NULL,NULL,NULL,NULL,NULL,"2003-07-01 00:00:00.000",NULL,Current
117,LN-1024,"Lock Nut 5",NULL,NULL,NULL,NULL,NULL,NULL,NULL,"2003-07-01 00:00:00.000",NULL,Current
118,LN-1032,"Lock Nut 6",NULL,NULL,NULL,NULL,NULL,NULL,NULL,"2003-07-01 00:00:00.000",NULL,Current
119,LN-1213,"Lock Nut 16",NULL,NULL,NULL,NULL,NULL,NULL,NULL,"2003-07-01 00:00:00.000",NULL,Current
120,LN-1220,"Lock Nut 17",NULL,NULL,NULL,NULL,NULL,NULL,NULL,"2003-07-01 00:00:00.000",NULL,Current
121,LN-1224,"Lock Nut 7",NULL,NULL,NULL,NULL,NULL,NULL,NULL,"2003-07-01 00:00:00.000",NULL,Current
122,LN-1420,"Lock Nut 8",NULL,NULL,NULL,NULL,NULL,NULL,NULL,"2003-07-01 00:00:00.000",NULL,Current
123,LN-1428,"Lock Nut 9",NULL,NULL,NULL,NULL,NULL,NULL,NULL,"2003-07-01 00:00:00.000",NULL,Current
124,LN-3410,"Lock Nut 22",NULL,NULL,NULL,NULL,NULL,NULL,NULL,"2003-07-01 00:00:00.000",NULL,Current
125,LN-3416,"Lock Nut 23",NULL,NULL,NULL,NULL,NULL,NULL,NULL,"2003-07-01 00:00:00.000",NULL,Current
126,LN-3816,"Lock Nut 12",NULL,NULL,NULL,NULL,NULL,NULL,NULL,"2003-07-01 00:00:00.000",NULL,Current
127,LN-3824,"Lock Nut 13",NULL,NULL,NULL,NULL,NULL,NULL,NULL,"2003-07-01 00:00:00.000",NULL,Current
128,LN-4400,"Lock Nut 1",NULL,NULL,NULL,NULL,NULL,NULL,NULL,"2003-07-01 00:00:00.000",NULL,Current
129,LN-5161,"Lock Nut 10",NULL,NULL,NULL,NULL,NULL,NULL,NULL,"2003-07-01 00:00:00.000",NULL,Current
130,LN-5162,"Lock Nut 11",NULL,NULL,NULL,NULL,NULL,NULL,NULL,"2003-07-01 00:00:00.000",NULL,Current
131,LN-5400,"Lock Nut 2",NULL,NULL,NULL,NULL,NULL,NULL,NULL,"2003-07-01 00:00:00.000",NULL,Current
132,LN-5811,"Lock Nut 20",NULL,NULL,NULL,NULL,NULL,NULL,NULL,"2003-07-01 00:00:00.000",NULL,Current
133,LN-5818,"Lock Nut 21",NULL,NULL,NULL,NULL,NULL,NULL,NULL,"2003-07-01 00:00:00.000",NULL,Current
134,LN-6320,"Lock Nut 3",NULL,NULL,NULL,NULL,NULL,NULL,NULL,"2003-07-01 00:00:00.000",NULL,Current
135,LN-7161,"Lock Nut 14",NULL,NULL,NULL,NULL,NULL,NULL,NULL,"2003-07-01 00:00:00.000",NULL,Current
136,LN-7162,"Lock Nut 15",NULL,NULL,NULL,NULL,NULL,NULL,NULL,"2003-07-01 00:00:00.000",NULL,Current
137,LN-8320,"Lock Nut 4",NULL,NULL,NULL,NULL,NULL,NULL,NULL,"2003-07-01 00:00:00.000",NULL,Current
138,LN-9080,"Lock Nut 19",NULL,NULL,NULL,NULL,NULL,NULL,NULL,"2003-07-01 00:00:00.000",NULL,Current
139,LN-9161,"Lock Nut 18",NULL,NULL,NULL,NULL,NULL,NULL,NULL,"2003-07-01 00:00:00.000",NULL,Current
140,LR-2398,"Lock Ring",NULL,NULL,Silver,NULL,NULL,NULL,NULL,"2003-07-01 00:00:00.000",NULL,Current
141,LR-8520,"Lower Head Race",NULL,NULL,NULL,NULL,NULL,NULL,NULL,"2003-07-01 00:00:00.000",NULL,Current
142,LW-1000,"Lock Washer 4",NULL,NULL,NULL,NULL,NULL,NULL,NULL,"2003-07-01 00:00:00.000",NULL,Current
143,LW-1200,"Lock Washer 5",NULL,NULL,NULL,NULL,NULL,NULL,NULL,"2003-07-01 00:00:00.000",NULL,Current
144,LW-1201,"Lock Washer 10",NULL,NULL,NULL,NULL,NULL,NULL,NULL,"2003-07-01 00:00:00.000",NULL,Current
145,LW-1400,"Lock Washer 6",NULL,NULL,NULL,NULL,NULL,NULL,NULL,"2003-07-01 00:00:00.000",NULL,Current
146,LW-3400,"Lock Washer 13",NULL,NULL,NULL,NULL,NULL,NULL,NULL,"2003-07-01 00:00:00.000",NULL,Current
147,LW-3800,"Lock Washer 8",NULL,NULL,NULL,NULL,NULL,NULL,NULL,"2003-07-01 00:00:00.000",NULL,Current
148,LW-4000,"Lock Washer 1",NULL,NULL,NULL,NULL,NULL,NULL,NULL,"2003-07-01 00:00:00.000",NULL,Current
149,LW-5160,"Lock Washer 7",NULL,NULL,NULL,NULL,NULL,NULL,NULL,"2003-07-01 00:00:00.000",NULL,Current
150,LW-5800,"Lock Washer 12",NULL,NULL,NULL,NULL,NULL,NULL,NULL,"2003-07-01 00:00:00.000",NULL,Current
151,LW-6000,"Lock Washer 2",NULL,NULL,NULL,NULL,NULL,NULL,NULL,"2003-07-01 00:00:00.000",NULL,Current
152,LW-7160,"Lock Washer 9",NULL,NULL,NULL,NULL,NULL,NULL,NULL,"2003-07-01 00:00:00.000",NULL,Current
153,LW-8000,"Lock Washer 3",NULL,NULL,NULL,NULL,NULL,NULL,NULL,"2003-07-01 00:00:00.000",NULL,Current
154,LW-9160,"Lock Washer 11",NULL,NULL,NULL,NULL,NULL,NULL,NULL,"2003-07-01 00:00:00.000",NULL,Current
155,MA-7075,"Metal Angle",NULL,NULL,NULL,NULL,NULL,NULL,NULL,"2003-07-01 00:00:00.000",NULL,Current
156,MB-2024,"Metal Bar 1",NULL,NULL,NULL,NULL,NULL,NULL,NULL,"2003-07-01 00:00:00.000",NULL,Current
157,MB-6061,"Metal Bar 2",NULL,NULL,NULL,NULL,NULL,NULL,NULL,"2003-07-01 00:00:00.000",NULL,Current
158,MP-2066,"Metal Plate 2",NULL,NULL,NULL,NULL,NULL,NULL,NULL,"2003-07-01 00:00:00.000",NULL,Current
159,MP-2503,"Metal Plate 1",NULL,NULL,NULL,NULL,NULL,NULL,NULL,"2003-07-01 00:00:00.000",NULL,Current
160,MP-4960,"Metal Plate 3",NULL,NULL,NULL,NULL,NULL,NULL,NULL,"2003-07-01 00:00:00.000",NULL,Current
161,MS-0253,"Metal Sheet 2",NULL,NULL,NULL,NULL,NULL,NULL,NULL,"2003-07-01 00:00:00.000",NULL,Current
162,MS-1256,"Metal Sheet 3",NULL,NULL,NULL,NULL,NULL,NULL,NULL,"2003-07-01 00:00:00.000",NULL,Current
163,MS-1981,"Metal Sheet 7",NULL,NULL,NULL,NULL,NULL,NULL,NULL,"2003-07-01 00:00:00.000",NULL,Current
164,MS-2259,"Metal Sheet 4",NULL,NULL,NULL,NULL,NULL,NULL,NULL,"2003-07-01 00:00:00.000",NULL,Current
165,MS-2341,"Metal Sheet 5",NULL,NULL,NULL,NULL,NULL,NULL,NULL,"2003-07-01 00:00:00.000",NULL,Current
166,MS-2348,"Metal Sheet 6",NULL,NULL,NULL,NULL,NULL,NULL,NULL,"2003-07-01 00:00:00.000",NULL,Current
167,MS-6061,"Metal Sheet 1",NULL,NULL,NULL,NULL,NULL,NULL,NULL,"2003-07-01 00:00:00.000",NULL,Current
168,MT-1000,"Metal Tread Plate",NULL,NULL,NULL,NULL,NULL,NULL,NULL,"2003-07-01 00:00:00.000",NULL,Current
169,NI-4127,"LL Nipple",NULL,NULL,NULL,NULL,NULL,NULL,NULL,"2003-07-01 00:00:00.000",NULL,Current
170,NI-9522,"HL Nipple",NULL,NULL,NULL,NULL,NULL,NULL,NULL,"2003-07-01 00:00:00.000",NULL,Current
171,PA-187B,"Paint - Black",NULL,NULL,NULL,NULL,NULL,NULL,NULL,"2003-07-01 00:00:00.000",NULL,Current
172,PA-361R,"Paint - Red",NULL,NULL,NULL,NULL,NULL,NULL,NULL,"2003-07-01 00:00:00.000",NULL,Current
173,PA-529S,"Paint - Silver",NULL,NULL,NULL,NULL,NULL,NULL,NULL,"2003-07-01 00:00:00.000",NULL,Current
174,PA-632U,"Paint - Blue",NULL,NULL,NULL,NULL,NULL,NULL,NULL,"2003-07-01 00:00:00.000",NULL,Current
175,PA-823Y,"Paint - Yellow",NULL,NULL,NULL,NULL,NULL,NULL,NULL,"2003-07-01 00:00:00.000",NULL,Current
176,PB-6109,"Pinch Bolt",NULL,NULL,NULL,NULL,NULL,NULL,NULL,"2003-07-01 00:00:00.000",NULL,Current
177,RA-2345,"Cup-Shaped Race",NULL,NULL,NULL,NULL,NULL,NULL,NULL,"2003-07-01 00:00:00.000",NULL,Current
178,RA-7490,"Cone-Shaped Race",NULL,NULL,NULL,NULL,NULL,NULL,NULL,"2003-07-01 00:00:00.000",NULL,Current
179,RF-9198,Reflector,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"2003-07-01 00:00:00.000",NULL,Current
180,RM-M464,"LL Mountain Rim",NULL,NULL,NULL,NULL,NULL,NULL,NULL,"2003-07-01 00:00:00.000",NULL,Current
181,RM-M692,"ML Mountain Rim",NULL,NULL,NULL,NULL,NULL,NULL,NULL,"2003-07-01 00:00:00.000",NULL,Current
182,RM-M823,"HL Mountain Rim",NULL,NULL,NULL,NULL,NULL,NULL,NULL,"2003-07-01 00:00:00.000",NULL,Current
183,RM-R436,"LL Road Rim",NULL,NULL,NULL,NULL,NULL,NULL,NULL,"2003-07-01 00:00:00.000",NULL,Current
184,RM-R600,"ML Road Rim",NULL,NULL,NULL,NULL,NULL,NULL,NULL,"2003-07-01 00:00:00.000",NULL,Current
185,RM-R800,"HL Road Rim",NULL,NULL,NULL,NULL,NULL,NULL,NULL,"2003-07-01 00:00:00.000",NULL,Current
186,RM-T801,"Touring Rim",NULL,NULL,NULL,NULL,NULL,NULL,NULL,"2003-07-01 00:00:00.000",NULL,Current
187,SA-M198,"LL Mountain Seat Assembly",NULL,NULL,NULL,NULL,NULL,NULL,NULL,"2003-07-01 00:00:00.000",NULL,Current
188,SA-M237,"ML Mountain Seat Assembly",NULL,NULL,NULL,NULL,NULL,NULL,NULL,"2003-07-01 00:00:00.000",NULL,Current
189,SA-M687,"HL Mountain Seat Assembly",NULL,NULL,NULL,NULL,NULL,NULL,NULL,"2003-07-01 00:00:00.000",NULL,Current
190,SA-R127,"LL Road Seat Assembly",NULL,NULL,NULL,NULL,NULL,NULL,NULL,"2003-07-01 00:00:00.000",NULL,Current
191,SA-R430,"ML Road Seat Assembly",NULL,NULL,NULL,NULL,NULL,NULL,NULL,"2003-07-01 00:00:00.000",NULL,Current
192,SA-R522,"HL Road Seat Assembly",NULL,NULL,NULL,NULL,NULL,NULL,NULL,"2003-07-01 00:00:00.000",NULL,Current
193,SA-T467,"LL Touring Seat Assembly",NULL,NULL,NULL,NULL,NULL,NULL,NULL,"2003-07-01 00:00:00.000",NULL,Current
194,SA-T612,"ML Touring Seat Assembly",NULL,NULL,NULL,NULL,NULL,NULL,NULL,"2003-07-01 00:00:00.000",NULL,Current
195,SA-T872,"HL Touring Seat Assembly",NULL,NULL,NULL,NULL,NULL,NULL,NULL,"2003-07-01 00:00:00.000",NULL,Current
196,SD-2342,"LL Spindle/Axle",NULL,NULL,NULL,NULL,NULL,NULL,NULL,"2003-07-01 00:00:00.000",NULL,Current
